,LogisticRegressionModel,LogisticRegressionModel_SHAP,RandomForestModel,RandomForestModel_SHAP,SVMModel,SVMModel_SHAP,GradientBoostingModel,GradientBoostingModel_SHAP,XGBoostModel,XGBoostModel_SHAP,CatBoostModel,CatBoostModel_SHAP,ANOVA_F,MutualInfo,LogisticRegressionModel_rank,LogisticRegressionModel_SHAP_rank,RandomForestModel_rank,RandomForestModel_SHAP_rank,SVMModel_rank,SVMModel_SHAP_rank,GradientBoostingModel_rank,GradientBoostingModel_SHAP_rank,XGBoostModel_rank,XGBoostModel_SHAP_rank,CatBoostModel_rank,CatBoostModel_SHAP_rank,ANOVA_F_rank,MutualInfo_rank,mean_rank
III_shannon_entropy,0.027764446794072226,0.0,0.001381641186877349,0.0,0.0,0.0,0.0006212709418346339,0.0,0.0043077404,0.0,0.21801162290237797,0.0,0.000359875002641176,0.0,239.0,239.0,190.0,220.0,183.5,257.0,285.0,232.5,24.0,218.5,190.0,226.5,349.0,275.5,223.53571428571428
V2_mean,0.007023629245496409,0.0,0.0,0.0,0.0,0.0,0.002098580237423458,0.0,0.002968696,0.0,0.2574142504273935,0.0,0.9681210526540504,0.0,328.0,239.0,305.0,220.0,183.5,257.0,181.0,232.5,157.0,218.5,141.0,226.5,175.0,275.5,224.25
III_p_amplitude,0.005065575424442047,0.0,0.0,0.0,0.00193548387096778,0.0,0.0017926460730530991,0.0,0.002338587,0.0,0.17793725933262963,0.0,0.695488686683518,0.0002694946434154133,343.0,239.0,305.0,220.0,4.5,257.0,207.0,232.5,264.0,218.5,244.0,226.5,191.0,196.0,224.85714285714286
V1_signal_complexity,0.04064341618112477,0.0,0.0,0.0,0.0,0.0,0.0012712243788843712,0.0,0.002092353,0.0,0.29303596782433833,0.0,0.8895054044138322,0.0,189.0,239.0,305.0,220.0,183.5,257.0,244.0,232.5,302.0,218.5,102.0,226.5,181.0,275.5,226.82142857142858
V5_t_amplitude,0.030396420739356923,0.0,0.0,0.0,0.0,0.0,0.0012210863028277814,0.0,0.0031760077,0.0,0.09892232421812046,0.0,2.048508365385411,0.0,222.0,239.0,305.0,220.0,183.5,257.0,250.0,232.5,130.0,218.5,308.0,226.5,109.0,275.5,226.89285714285714
V5_shannon_entropy,0.011141434178168852,0.0,0.0011231559572531088,0.0,0.0,0.0,0.00029049518521226544,0.0,0.0040318687,0.0,0.22482676810988558,0.0,0.1450762767838798,0.0,308.0,239.0,205.0,220.0,183.5,257.0,315.0,232.5,36.0,218.5,181.0,226.5,279.0,275.5,226.89285714285714
III_std,0.006196262383697821,0.0,0.000946585698872704,0.0,0.0,0.0,0.0007676719890319772,0.0,0.0022432848,0.0,0.27872100569735225,0.0,0.2402659846623083,0.011050880749918113,331.0,239.0,218.0,220.0,183.5,257.0,277.0,232.5,275.0,218.5,120.0,226.5,260.5,131.0,227.82142857142858
III_hrv_sdnn,0.009403136963459234,0.0,0.0008892702039140727,0.0,0.0,0.0,0.002664173618634204,0.0,0.0026615448,0.0,0.23617245939963427,0.0,0.13839597059941006,0.0,314.0,239.0,222.0,220.0,183.5,257.0,139.0,232.5,212.0,218.5,171.0,226.5,283.0,275.5,228.10714285714286
V2_snr_db,0.043598289808869706,0.0015356824984730957,0.0,0.0,0.0,0.0003424759366615941,0.0005431285772646779,0.0,0.0024005403,0.0,0.08817798566233646,0.0,0.07506042030513928,0.0,180.0,70.0,305.0,220.0,183.5,132.0,294.0,232.5,251.0,218.5,313.0,226.5,300.0,275.5,228.67857142857142
stan po przebyciu zawału serca,0.0146653131111485,0.0,0.0,0.0,0.0,0.0002730211926562182,0.0,0.0021248152051524085,0.0,0.0,0.021985115860057775,0.0,1.5590911629734363,0.00576240589924093,294.0,239.0,305.0,220.0,183.5,146.0,346.0,61.0,342.5,218.5,337.0,226.5,136.0,160.0,229.64285714285714
III_hrv_rmssd,0.03142517348155966,0.0,0.0018881765659633136,0.0,0.0,0.0,0.0008132187023907925,0.0,0.0023250978,0.0,0.24397365234452825,0.0,0.12733578050822847,0.0,215.0,239.0,165.0,220.0,183.5,257.0,272.0,232.5,266.0,218.5,159.0,226.5,286.0,275.5,229.67857142857142
V3_r_amplitude,0.021256679791691546,0.00046099377725868616,0.0,0.0,0.0,0.0004996360889194028,0.000578003867935941,0.0,0.0025095614,0.0,0.14546831328393336,0.0,0.24269132267926877,0.0,268.0,115.0,305.0,220.0,183.5,109.0,292.0,232.5,237.0,218.5,277.0,226.5,259.0,275.5,229.89285714285714
V1_p_amplitude_var,0.04667297684706585,0.0,0.0014383117679303288,0.0,0.0,0.0,0.0003855532809808816,0.0,0.00235248,0.0,0.1545100299096623,0.0,0.9109509837464798,0.0,169.0,239.0,185.0,220.0,183.5,257.0,308.0,232.5,259.0,218.5,271.0,226.5,178.0,275.5,230.17857142857142
aVR_r_amplitude,0.011823854845042498,0.0,4.114316425136098e-05,0.0,0.0,0.0,0.0020540516795026146,0.0,0.003809652,0.0,0.17240858571338463,0.0,0.010087237544392318,0.0,303.0,239.0,253.0,220.0,183.5,257.0,183.0,232.5,52.0,218.5,247.0,226.5,334.0,275.5,230.32142857142858
przewlekłe ciężkie choroby układu oddechowego,0.06102205635012742,0.0,0.0,0.0,0.0,0.0020851715285512542,0.0,0.0,0.0014679577,0.0,0.014425414394779271,0.0,5.006960545605562e-05,0.02083326937899721,138.0,239.0,305.0,220.0,183.5,20.0,346.0,232.5,325.0,218.5,343.0,226.5,352.0,83.0,230.85714285714286
V2_r_amplitude,0.07707733077877706,0.0,0.0010198544863521041,0.0,0.0,0.0,0.0003005327911125042,0.0,0.003326669,0.0,0.09250928527021678,0.0,0.0012743597895783375,0.0,90.0,239.0,211.0,220.0,183.5,257.0,314.0,232.5,111.0,218.5,311.0,226.5,343.0,275.5,230.89285714285714
V6_qrs_duration,0.007098954485106642,0.0,0.0,0.0,0.0,0.0,0.0008292858902335802,0.0,0.0019913542,0.0,0.2428974176290986,0.0,0.10201707206864415,0.04471735951338274,326.0,239.0,305.0,220.0,183.5,257.0,271.0,232.5,307.0,218.5,160.0,226.5,290.0,21.0,232.64285714285714
V2_qtc_sd,0.03536805070201251,0.0,0.0007677649454952874,0.0,0.0,0.0,0.0003687792091309843,0.0,0.003232325,0.0,0.20789411200652308,0.0,0.02039014729032277,0.0,205.0,239.0,226.0,220.0,183.5,257.0,311.0,232.5,125.0,218.5,209.0,226.5,330.0,275.5,232.75
V6_p_duration,0.021623093582406848,0.0,0.0,0.0,0.0,0.0,0.0006824613570241837,0.0,0.001755401,0.0,0.2597064011467591,0.0,0.10043789185532759,0.01849873438280758,264.0,239.0,305.0,220.0,183.5,257.0,281.0,232.5,315.0,218.5,139.0,226.5,294.0,93.0,233.42857142857142
Operowany przed przyjęciem (0/1),0.062167306932348586,0.0008697848328570772,0.0,0.0,0.0,0.0,0.00021078870162940378,0.0,0.0,0.0,0.01849741709281895,0.0,0.21633569074329181,0.007384549458195888,134.0,98.0,305.0,220.0,183.5,257.0,318.0,232.5,342.5,218.5,339.0,226.5,264.0,150.0,234.89285714285714
V3_hrv_rmssd,0.03786787976939592,0.0,0.00021692614304528478,0.0,0.0,0.0,0.0017174719000050934,0.0,0.0025541042,0.0,0.1558961984326254,0.0,0.10093930434642996,0.0,195.0,239.0,245.0,220.0,183.5,257.0,211.0,232.5,231.0,218.5,270.0,226.5,292.0,275.5,235.46428571428572
CTK rozkurczowe przyjęcie (TISS nr 1),0.0051895438130415885,0.0,0.0,0.0,0.0,0.0,0.002918807901663317,0.0,0.0022111987,0.0,0.11547896254190486,0.0,2.591793327694526,0.0,341.0,239.0,305.0,220.0,183.5,257.0,127.0,232.5,283.0,218.5,302.0,226.5,91.0,275.5,235.82142857142858
"choroby psychiczne (depresja, schizofrenia, otępienie)",0.11250100038038245,0.0,0.0,0.0,0.0,0.0,0.0,0.0007922590080232328,0.0,0.0,0.06480678423711213,0.0,0.37631900095303655,0.0,34.0,239.0,305.0,220.0,183.5,257.0,346.0,102.0,342.5,218.5,320.0,226.5,233.0,275.5,235.89285714285714
V1_qrs_duration_var,0.0006554545924406241,0.0,0.002317114048103716,0.0,0.0,0.0,0.0015824996897339694,0.0,0.0021725888,0.0,0.13213507956852527,0.0,0.030951354388852357,0.012397743137389838,351.0,239.0,133.0,220.0,183.5,257.0,220.0,232.5,290.0,218.5,297.0,226.5,316.0,123.0,236.21428571428572
V6_hrv_sdnn,0.023956894987536576,0.0,0.0012951038865118688,0.0,0.0,0.0,0.001126799754805252,0.0,0.0030171322,0.0,0.13905907761251346,0.0,0.025293245421195546,0.0,255.0,239.0,194.0,220.0,183.5,257.0,260.0,232.5,146.0,218.5,291.0,226.5,324.0,275.5,237.32142857142858
I_snr_db,0.027833085686585594,0.0,2.0851140461598696e-05,0.0,0.0,0.0,0.0015238253327327566,0.0,0.0024585016,0.0,0.12762560021386138,0.0,0.4940428292408598,0.0,238.0,239.0,256.0,220.0,183.5,257.0,226.0,232.5,243.0,218.5,299.0,226.5,218.0,275.5,238.03571428571428
POCHP,0.03628253828527384,0.0,0.0,0.0,0.00043010752688172894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03200260393570107,0.010424047064709008,199.0,239.0,305.0,220.0,9.0,257.0,346.0,232.5,342.5,218.5,352.0,226.5,315.0,134.0,242.57142857142858
astma,0.01217586790588575,0.0,0.0,0.0,0.0,0.0006816641611459186,0.0,0.0,0.0,0.0,0.013351689478946787,0.0,0.709699618174259,0.0026064167455659426,301.0,239.0,305.0,220.0,183.5,94.0,346.0,232.5,342.5,218.5,344.0,226.5,188.0,184.0,244.60714285714286
V1_st_slope,0.0116347559054996,0.0,0.0,0.0,0.0,0.00022962283635918389,0.0002881613250760632,0.0,0.0022717703,0.0,0.20926615558951916,0.0,0.10126054518095028,0.0,305.0,239.0,305.0,220.0,183.5,154.0,316.0,232.5,272.0,218.5,206.0,226.5,291.0,275.5,246.03571428571428
niewydolność nerek przewlekła,0.011092741628470534,0.0,0.0,0.0,0.0,0.0005536253672186009,0.0,0.0,0.0,0.0,0.0,0.0,2.2559637900913025,0.0,309.0,239.0,305.0,220.0,183.5,105.0,346.0,232.5,342.5,218.5,352.0,226.5,103.0,275.5,247.0
aVR_mean,0.009554736112527717,0.0,0.0005804383849990666,0.0,0.0,0.0,0.0011153096710914755,0.0,0.0020007857,0.0,0.16251149667653897,0.0,0.3518344331120778,0.0,313.0,239.0,231.0,220.0,183.5,257.0,261.0,232.5,306.0,218.5,260.0,226.5,237.0,275.5,247.17857142857142
II_qrs_duration,0.015017707544676647,0.0,0.0,0.0,0.0,0.0,0.0007313340796102683,0.0,0.002575458,0.0,0.18600055694199655,0.0,0.05354369202692885,0.0,290.0,239.0,305.0,220.0,183.5,257.0,278.0,232.5,227.0,218.5,236.0,226.5,306.0,275.5,249.60714285714286
II_signal_quality,0.02949882690766609,0.0,0.0,0.0,0.0,0.0,6.585952229949164e-05,0.0,0.0,0.0,0.014571998378504725,0.0,0.2189873631930896,0.013410337424095475,229.0,239.0,305.0,220.0,183.5,257.0,330.0,232.5,342.5,218.5,342.0,226.5,263.0,114.0,250.17857142857142
"dopamina przyjęcie tak=1, nie = 0 (TISS nr 1)",0.02410363002639882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026554298202573705,0.0,0.06910822809502423,0.025572843558683056,254.0,239.0,305.0,220.0,183.5,257.0,346.0,232.5,342.5,218.5,350.0,226.5,301.0,66.0,252.96428571428572
dopamina  dawka (TISS nr 1),0.014777475305506525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006143106405056935,0.0,0.5689717391915388,0.011740687538953187,293.0,239.0,305.0,220.0,183.5,257.0,346.0,232.5,342.5,218.5,349.0,226.5,206.0,125.0,253.10714285714286
cukrzyca,0.030348909293438645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009776953,0.0,0.041562677387358325,0.0,1.105156990680916,0.0,223.0,239.0,305.0,220.0,183.5,257.0,346.0,232.5,330.0,218.5,329.0,226.5,161.0,275.5,253.32142857142858
V5_zero_crossings,0.015242458784184091,0.0,0.0,0.0,0.0,0.0,0.0016929711323459228,0.0,0.0016034258,0.0,0.16428276711234407,0.0,0.023494453074977727,0.0,289.0,239.0,305.0,220.0,183.5,257.0,214.0,232.5,320.0,218.5,257.0,226.5,326.0,275.5,254.53571428571428
argipresyna dawka  (TISS nr 1 godz. 0.00),0.03667192271756069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03115842254808413,0.0,0.7083493724533952,0.0,198.0,239.0,305.0,220.0,183.5,257.0,346.0,232.5,342.5,218.5,334.0,226.5,189.0,275.5,254.78571428571428
"choroby neurologiczne (Ch. Parkinsona, choroby nerwowo-mięśniowe)",0.022297721855927502,0.0,0.0,0.0,0.0,0.0,5.167936694104854e-05,0.0,0.0,0.0,0.04777799807422267,0.0,0.03370917541960847,0.008924968801651723,262.0,239.0,305.0,220.0,183.5,257.0,331.0,232.5,342.5,218.5,328.0,226.5,313.0,144.0,257.32142857142856
V5_signal_quality,0.016286156186113867,0.0,0.0,0.0,0.0,0.0003643422622740253,0.0002011507170345681,0.0,0.0,0.0,0.016137658149669346,0.0,0.0009775645530891264,0.0,285.0,239.0,305.0,220.0,183.5,127.0,319.0,232.5,342.5,218.5,341.0,226.5,345.0,275.5,261.42857142857144
